customerID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax,start-date,Unit Price,Discount,Product
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,NULL,4182,Italy,035-640230,035-640231,8/30/2015,81.73,0,basic
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,NULL,4182,Belgium,(02) 201 24 67,(02) 201 24 68,1/26/2017,421.89,0,basic
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,43 rue St. Laurent,Montréal,Québec,969431,Canada,(514) 555-8054,(514) 555-8055,5/31/2012,154.06,0,basic
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,NULL,4179,Germany,0342-023176,NULL,12/20/2010,154.06,5,basic
NORTS,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,NULL,2231,UK,(171) 555-7733,(171) 555-2530,1/1/2015,437.2,0,basic
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,NULL,1010,Argentina,(1) 135-5333,(1) 135-5535,7/28/2016,47.45,0,basic
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880,6/7/2016,9.33,0,basic
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,NULL,50739,Germany,0221-0644327,0221-0765721,11/5/2012,152.58,0,basic
PARIS,Paris spécialités,Marie Bertrand,Owner,265, boulevard Charonne,Paris,72900,75012,France,(1) 42.34.22.66,3/15/2012,651.21,0,basic
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,NULL,5033,Mexico,(5) 552-3745,(5) 545-3745,2/13/2011,651.21,0,basic
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,NULL,5020,Austria,6562-9722,6562-9723,6/19/2014,154.06,0,basic
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,NULL,72900,Portugal,(1) 356-5634,NULL,1/25/2017,81.73,0,basic
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,Rua da Panificadora,12,Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,7/29/2014,651.21,0,basic
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,Alameda dos Canàrios,891,Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,4/22/2015,437.2,0,basic
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,NULL,1307,Germany,0372-035188,NULL,4/4/2013,47.45,0,basic
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Av. del Libertador 900,Buenos Aires,NULL,1010,Argentina,(1) 123-5555,(1) 123-5556,3/25/2015,109.28,0,basic
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,7/29/2013,81.73,5,basic
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy,0522-556721,0522-556722,1/8/2013,651.21,0,basic
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Av. Copacabana,267,Rio de Janeiro,206942,02389-890,Brazil,(21) 555-3412,4/3/2012,205.7,0,basic
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,NULL,1203,Switzerland,0897-034214,NULL,5/12/2014,651.21,0,basic
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,Gran Vía,1,Madrid,37915,28001,Spain,(91) 745 6200,2/1/2016,255.28,0,basic
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,NULL,4110,Norway,07-98 92 35,07-98 92 47,6/8/2011,651.21,5,basic
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,NULL,8/22/2010,9.33,0,basic
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,NULL,1155,UK,(171) 555-1717,(171) 555-5646,8/19/2013,255.28,0,basic
SIMOB,Simons bistro,Jytte Petersen,Owner,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark,31 12 34 56,31 13 35 57,11/6/2013,47.45,0,platinum
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,25, rue Lauriston,Paris,43538,75016,France,(1) 47.55.60.10,2/19/2017,154.06,0,platinum
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525,4/17/2015,421.89,10,platinum
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,Boulevard Tirou,255,Charleroi,16862,B-6000,Belgium,(071) 23 67 22 20,5/8/2012,81.73,0,basic
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612,NULL,10/1/2013,421.89,0,basic
THECR,The Cracker Box,Liu Wong,Marketing Assistant,55 Grizzly Peak Rd.,Butte,MT,59801,USA,(406) 555-5834,(406) 555-8083,6/14/2014,651.21,0,platinum
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,NULL,44087,Germany,0251-031259,0251-035695,5/17/2010,205.7,0,platinum
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,México D.F.,NULL,5033,Mexico,(5) 555-2933,NULL,7/19/2017,651.21,5,platinum
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,Av. Inês de Castro,414,Sao Paulo,121154,05634-030,Brazil,(11) 555-2167,3/29/2015,205.7,0,basic
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257,(206) 555-2174,2/10/2010,152.58,0,basic
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,NULL,8200,Denmark,86 21 32 43,86 22 33 44,3/17/2010,9.33,0,basic
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,2, rue du Commerce,Lyon,4231,69004,France,78.32.54.86,2/8/2013,109.28,0,basic
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,NULL,51100,France,26.47.15.10,26.47.15.11,3/18/2017,152.58,5,basic
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Adenauerallee 900,Stuttgart,NULL,70563,Germany,0711-020361,0711-035428,2/23/2011,47.45,5,basic
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,NULL,90110,Finland,981-443655,981-443655,3/31/2014,205.7,5,platinum
WELLI,Wellington Importadora,Paula Parente,Sales Manager,Rua do Mercado,12,Resende,36307,08737-363,Brazil,(14) 555-8122,8/17/2013,152.58,0,platinum
WHITC,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115,9/4/2011,47.45,0,platinum
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,NULL,21240,Finland,90-224 8858,90-224 8858,8/2/2016,109.28,10,basic
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,ul. Filtrowa 68,Warszawa,NULL,29571,Poland,(26) 642-7012,(26) 642-7012,3/23/2014,255.28,10,basic
